### Cluster 81 — Symptoms (68)
Symptom,Frequency
sore muscles worse motion,1
lameness in back,1
hardly able to stoop,1
severe pain in right scapula worse inspiration,1
left knee cannot bear pressure,1
heavy limbs,1
back pains from engorged liver,1
fullness in right hypochondrium,1
shooting down left arm,1
constant tiredness,1
constant dull backache,1
severe pain in right chest,1
painful left knee,1
lameness in sacro-iliac symphysis worse walking,1
cloudy intellect,1
sore muscles worse walking,1
constant backache in sacrum worse stooping,1
weight in right hypochondrium,1
cannot focus on work,1
sense of spinal weakness,1
hemorrhoidal troubles,1
depressed mind,1
constant backache in sacrum worse walking,1
swollen left knee,2
fainting feeling,1
stiff left knee,2
left arm feels over-exercised,1
pain downward from right hip joint,1
lameness in small of back,1
pain in sacro-iliac symphysis worse walking,1
lameness in neck,1
sensation of arm paralysis,1
stinging in right arm,1
uncomfortable rectal feeling as if filled with sticks,1
severe aching from stomach pit to lower liver lobe,1
sad mind,1
tender right hypochondrium,1
constant backache in hips worse stooping,1
weakness in neck,1
dull aching between shoulders,1
dark urine,1
constant aching in right hip joint,1
weariness in small of back,1
gloomy mind,1
tearing in small of back on walking,1
hot urine,1
pain in scapulae worse inspiration,1
sense of lameness,1
sore leg,1
bruised feeling in right hip joint,1
aching in left acromion,1
dry fauces,1
weak back must lie down,1
constant backache in hips worse walking,1
true lumbago,1
severe dull pain across hips,1
walking almost impossible,2
weak legs must lie down,1
severe dull pain across back as if breaking,1
hardly able to rise,1
dull aching in small of back worse walking,1
dry mouth,1
painful joints,1
weakness in back,1
sore tendo achillis,1
sense of heaviness,1
affinity for left knee joint,1
severe pain in right chest worse inspiration,1

### Top Remedies
Remedy,Symptoms_Covered
aesculus hippocastanum,68
mercurius iodatus ruber,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
left knee cannot bear pressure,sad mind,1.0,1
left knee cannot bear pressure,tender right hypochondrium,1.0,1
left knee cannot bear pressure,constant backache in hips worse stooping,1.0,1
left knee cannot bear pressure,weakness in neck,1.0,1
left knee cannot bear pressure,dull aching between shoulders,1.0,1
left knee cannot bear pressure,dark urine,1.0,1
left knee cannot bear pressure,constant aching in right hip joint,1.0,1
left knee cannot bear pressure,weariness in small of back,1.0,1
left knee cannot bear pressure,gloomy mind,1.0,1
left knee cannot bear pressure,tearing in small of back on walking,1.0,1
left knee cannot bear pressure,hot urine,1.0,1
left knee cannot bear pressure,pain in scapulae worse inspiration,1.0,1
left knee cannot bear pressure,sense of lameness,1.0,1
left knee cannot bear pressure,sore leg,1.0,1
left knee cannot bear pressure,bruised feeling in right hip joint,1.0,1
left knee cannot bear pressure,aching in left acromion,1.0,1
left knee cannot bear pressure,dry fauces,1.0,1
left knee cannot bear pressure,weak back must lie down,1.0,1
left knee cannot bear pressure,constant backache in hips worse walking,1.0,1
left knee cannot bear pressure,true lumbago,1.0,1
left knee cannot bear pressure,severe dull pain across hips,1.0,1
left knee cannot bear pressure,walking almost impossible,1.0,1
left knee cannot bear pressure,weak legs must lie down,1.0,1
left knee cannot bear pressure,severe dull pain across back as if breaking,1.0,1
left knee cannot bear pressure,hardly able to rise,1.0,1
left knee cannot bear pressure,dull aching in small of back worse walking,1.0,1
left knee cannot bear pressure,dry mouth,1.0,1
left knee cannot bear pressure,painful joints,1.0,1
left knee cannot bear pressure,weakness in back,1.0,1
left knee cannot bear pressure,sore tendo achillis,1.0,1
left knee cannot bear pressure,sense of heaviness,1.0,1
left knee cannot bear pressure,affinity for left knee joint,1.0,1
left knee cannot bear pressure,severe pain in right chest worse inspiration,1.0,1
pain in sacro-iliac symphysis worse walking,sore muscles worse motion,1.0,1
pain in sacro-iliac symphysis worse walking,lameness in back,1.0,1
pain in sacro-iliac symphysis worse walking,hardly able to stoop,1.0,1
pain in sacro-iliac symphysis worse walking,severe pain in right scapula worse inspiration,1.0,1
pain in sacro-iliac symphysis worse walking,left knee cannot bear pressure,1.0,1
pain in sacro-iliac symphysis worse walking,heavy limbs,1.0,1
pain in sacro-iliac symphysis worse walking,back pains from engorged liver,1.0,1
pain in sacro-iliac symphysis worse walking,fullness in right hypochondrium,1.0,1
pain in sacro-iliac symphysis worse walking,shooting down left arm,1.0,1
pain in sacro-iliac symphysis worse walking,constant tiredness,1.0,1
pain in sacro-iliac symphysis worse walking,constant dull backache,1.0,1
pain in sacro-iliac symphysis worse walking,severe pain in right chest,1.0,1
pain in sacro-iliac symphysis worse walking,painful left knee,1.0,1
pain in sacro-iliac symphysis worse walking,lameness in sacro-iliac symphysis worse walking,1.0,1
pain in sacro-iliac symphysis worse walking,cloudy intellect,1.0,1
pain in sacro-iliac symphysis worse walking,sore muscles worse walking,1.0,1
pain in sacro-iliac symphysis worse walking,constant backache in sacrum worse stooping,1.0,1
pain in sacro-iliac symphysis worse walking,weight in right hypochondrium,1.0,1
pain in sacro-iliac symphysis worse walking,cannot focus on work,1.0,1
pain in sacro-iliac symphysis worse walking,sense of spinal weakness,1.0,1
pain in sacro-iliac symphysis worse walking,hemorrhoidal troubles,1.0,1
pain in sacro-iliac symphysis worse walking,depressed mind,1.0,1
pain in sacro-iliac symphysis worse walking,constant backache in sacrum worse walking,1.0,1
pain in sacro-iliac symphysis worse walking,swollen left knee,1.0,1
pain in sacro-iliac symphysis worse walking,fainting feeling,1.0,1
pain in sacro-iliac symphysis worse walking,stiff left knee,1.0,1
pain in sacro-iliac symphysis worse walking,left arm feels over-exercised,1.0,1
pain in sacro-iliac symphysis worse walking,pain downward from right hip joint,1.0,1
pain in sacro-iliac symphysis worse walking,lameness in small of back,1.0,1
pain in sacro-iliac symphysis worse walking,lameness in neck,1.0,1
pain in sacro-iliac symphysis worse walking,sensation of arm paralysis,1.0,1
pain in sacro-iliac symphysis worse walking,stinging in right arm,1.0,1
pain in sacro-iliac symphysis worse walking,uncomfortable rectal feeling as if filled with sticks,1.0,1
pain in sacro-iliac symphysis worse walking,severe aching from stomach pit to lower liver lobe,1.0,1
pain in sacro-iliac symphysis worse walking,sad mind,1.0,1
pain in sacro-iliac symphysis worse walking,tender right hypochondrium,1.0,1
pain in sacro-iliac symphysis worse walking,constant backache in hips worse stooping,1.0,1
pain in sacro-iliac symphysis worse walking,weakness in neck,1.0,1
pain in sacro-iliac symphysis worse walking,dull aching between shoulders,1.0,1
pain in sacro-iliac symphysis worse walking,dark urine,1.0,1
pain in sacro-iliac symphysis worse walking,constant aching in right hip joint,1.0,1
pain in sacro-iliac symphysis worse walking,weariness in small of back,1.0,1
pain in sacro-iliac symphysis worse walking,gloomy mind,1.0,1
pain in sacro-iliac symphysis worse walking,tearing in small of back on walking,1.0,1
pain in sacro-iliac symphysis worse walking,hot urine,1.0,1
pain in sacro-iliac symphysis worse walking,pain in scapulae worse inspiration,1.0,1
pain in sacro-iliac symphysis worse walking,sense of lameness,1.0,1
pain in sacro-iliac symphysis worse walking,sore leg,1.0,1
pain in sacro-iliac symphysis worse walking,bruised feeling in right hip joint,1.0,1
pain in sacro-iliac symphysis worse walking,aching in left acromion,1.0,1
pain in sacro-iliac symphysis worse walking,dry fauces,1.0,1
pain in sacro-iliac symphysis worse walking,weak back must lie down,1.0,1
pain in sacro-iliac symphysis worse walking,constant backache in hips worse walking,1.0,1
pain in sacro-iliac symphysis worse walking,true lumbago,1.0,1
pain in sacro-iliac symphysis worse walking,severe dull pain across hips,1.0,1
pain in sacro-iliac symphysis worse walking,walking almost impossible,1.0,1
pain in sacro-iliac symphysis worse walking,weak legs must lie down,1.0,1
pain in sacro-iliac symphysis worse walking,severe dull pain across back as if breaking,1.0,1
pain in sacro-iliac symphysis worse walking,hardly able to rise,1.0,1
pain in sacro-iliac symphysis worse walking,dull aching in small of back worse walking,1.0,1
pain in sacro-iliac symphysis worse walking,dry mouth,1.0,1
pain in sacro-iliac symphysis worse walking,painful joints,1.0,1
pain in sacro-iliac symphysis worse walking,weakness in back,1.0,1
pain in sacro-iliac symphysis worse walking,sore tendo achillis,1.0,1
pain in sacro-iliac symphysis worse walking,sense of heaviness,1.0,1
pain in sacro-iliac symphysis worse walking,affinity for left knee joint,1.0,1
pain in sacro-iliac symphysis worse walking,severe pain in right chest worse inspiration,1.0,1
severe dull pain across hips,sore muscles worse motion,1.0,1
severe dull pain across hips,lameness in back,1.0,1
severe dull pain across hips,hardly able to stoop,1.0,1
severe dull pain across hips,severe pain in right scapula worse inspiration,1.0,1
severe dull pain across hips,left knee cannot bear pressure,1.0,1
severe dull pain across hips,heavy limbs,1.0,1
severe dull pain across hips,back pains from engorged liver,1.0,1
severe dull pain across hips,fullness in right hypochondrium,1.0,1
severe dull pain across hips,shooting down left arm,1.0,1
severe dull pain across hips,constant tiredness,1.0,1
severe dull pain across hips,constant dull backache,1.0,1
severe dull pain across hips,severe pain in right chest,1.0,1
severe dull pain across hips,painful left knee,1.0,1
severe dull pain across hips,lameness in sacro-iliac symphysis worse walking,1.0,1
severe dull pain across hips,cloudy intellect,1.0,1
severe dull pain across hips,sore muscles worse walking,1.0,1
severe dull pain across hips,constant backache in sacrum worse stooping,1.0,1
