### Cluster 55 — Symptoms (59)
Symptom,Frequency
tarsal bones of right foot greatly swollen,1
debilitating night sweats,1
rheumatic arthritic syphilitic or gonorrhoeal ophthalmia,1
trembling of extremities,1
stinging pain in small of back,1
agitation as if frightened,1
arms and thighs sore to touch,1
painful swelling in metatarsal bones,1
phlegmonous inflammation and swelling of lids,1
drawing and tearing in all the limbs,1
tearing in hip joint and knee with pulsating pain,1
pains around eyes on forehead and temples,1
very sensitive to touch,3
swelling of tarsal bones of right foot very red,1
sticking pain with unsteadiness in back knees and feet,1
sudden pain and stiffness of nape of neck and both upper and lower limbs,1
glands swollen,1
acrid lachrymation,1
bruised sensation of scapulae back and small of back,1
painful stiffness in limbs,1
tearing and stitching in lower limbs,1
rheumatic affections of capsular ligaments of arms,1
pupil dilated and covered with a thin film,1
profuse sweat without relief in gouty rheumatic patients,1
stinging especially in hip joint femur and knee,1
fingers of both hands flexed and drawn inward,1
has to have assistance to change position,1
rheumatic and arthritic pains tearing stinging,1
lancinating in shoulder joints arms and wrists,1
awakens with trembling at the heart,1
severe tearing boring cutting in damp weather,1
sensation as if arms were too heavy,1
pain in left thigh with soreness to touch,1
iris discoloured,1
rheumatic pains in legs with stinging,1
shooting from deep in the eye,1
fingers cannot be opened without much exertion,1
fetid breath,1
brought on by exposure,1
red and hot swelling from elbow to wrist,1
glands of neck swollen and painful on swallowing in rheumatism,1
weakness at heart as if dying,1
throbbing and shooting pains in eyes,1
boring and drawing pain in tibia,1
rheumatic stiffness and swelling of neck,1
aching pain at apex extending upward toward base of heart,1
conjunctiva of right eye greatly inflamed and swollen,1
lies motionless in bed,1
cardiac oppression,1
great photophobia,1
tearing pains in forehead and vertex,1
sprained pain in right tarsal joints,1
flow of hot tears,1
white ring around cornea,1
sticking pain in small of back when breathing,1
acute pain in tarsal bones,1
weakness and weariness,1
tendency to form adhesions in rheumatic iritis,1
rheumatic affections of shoulders and upper arms,1

### Top Remedies
Remedy,Symptoms_Covered
mercurius,59
sabina,1
silica,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
drawing and tearing in all the limbs,swelling of tarsal bones of right foot very red,1.0,1
drawing and tearing in all the limbs,sticking pain with unsteadiness in back knees and feet,1.0,1
drawing and tearing in all the limbs,sudden pain and stiffness of nape of neck and both upper and lower limbs,1.0,1
drawing and tearing in all the limbs,glands swollen,1.0,1
drawing and tearing in all the limbs,acrid lachrymation,1.0,1
drawing and tearing in all the limbs,bruised sensation of scapulae back and small of back,1.0,1
drawing and tearing in all the limbs,painful stiffness in limbs,1.0,1
drawing and tearing in all the limbs,tearing and stitching in lower limbs,1.0,1
drawing and tearing in all the limbs,rheumatic affections of capsular ligaments of arms,1.0,1
drawing and tearing in all the limbs,pupil dilated and covered with a thin film,1.0,1
drawing and tearing in all the limbs,profuse sweat without relief in gouty rheumatic patients,1.0,1
drawing and tearing in all the limbs,stinging especially in hip joint femur and knee,1.0,1
drawing and tearing in all the limbs,fingers of both hands flexed and drawn inward,1.0,1
drawing and tearing in all the limbs,has to have assistance to change position,1.0,1
drawing and tearing in all the limbs,rheumatic and arthritic pains tearing stinging,1.0,1
drawing and tearing in all the limbs,lancinating in shoulder joints arms and wrists,1.0,1
drawing and tearing in all the limbs,awakens with trembling at the heart,1.0,1
drawing and tearing in all the limbs,severe tearing boring cutting in damp weather,1.0,1
drawing and tearing in all the limbs,sensation as if arms were too heavy,1.0,1
drawing and tearing in all the limbs,pain in left thigh with soreness to touch,1.0,1
drawing and tearing in all the limbs,iris discoloured,1.0,1
drawing and tearing in all the limbs,rheumatic pains in legs with stinging,1.0,1
drawing and tearing in all the limbs,shooting from deep in the eye,1.0,1
drawing and tearing in all the limbs,fingers cannot be opened without much exertion,1.0,1
drawing and tearing in all the limbs,fetid breath,1.0,1
drawing and tearing in all the limbs,brought on by exposure,1.0,1
drawing and tearing in all the limbs,red and hot swelling from elbow to wrist,1.0,1
drawing and tearing in all the limbs,glands of neck swollen and painful on swallowing in rheumatism,1.0,1
drawing and tearing in all the limbs,weakness at heart as if dying,1.0,1
drawing and tearing in all the limbs,throbbing and shooting pains in eyes,1.0,1
drawing and tearing in all the limbs,boring and drawing pain in tibia,1.0,1
drawing and tearing in all the limbs,rheumatic stiffness and swelling of neck,1.0,1
drawing and tearing in all the limbs,aching pain at apex extending upward toward base of heart,1.0,1
drawing and tearing in all the limbs,conjunctiva of right eye greatly inflamed and swollen,1.0,1
drawing and tearing in all the limbs,lies motionless in bed,1.0,1
drawing and tearing in all the limbs,cardiac oppression,1.0,1
drawing and tearing in all the limbs,great photophobia,1.0,1
drawing and tearing in all the limbs,tearing pains in forehead and vertex,1.0,1
drawing and tearing in all the limbs,sprained pain in right tarsal joints,1.0,1
drawing and tearing in all the limbs,flow of hot tears,1.0,1
drawing and tearing in all the limbs,white ring around cornea,1.0,1
drawing and tearing in all the limbs,sticking pain in small of back when breathing,1.0,1
drawing and tearing in all the limbs,acute pain in tarsal bones,1.0,1
drawing and tearing in all the limbs,weakness and weariness,1.0,1
drawing and tearing in all the limbs,tendency to form adhesions in rheumatic iritis,1.0,1
drawing and tearing in all the limbs,rheumatic affections of shoulders and upper arms,1.0,1
boring and drawing pain in tibia,tarsal bones of right foot greatly swollen,1.0,1
boring and drawing pain in tibia,debilitating night sweats,1.0,1
boring and drawing pain in tibia,rheumatic arthritic syphilitic or gonorrhoeal ophthalmia,1.0,1
boring and drawing pain in tibia,trembling of extremities,1.0,1
boring and drawing pain in tibia,stinging pain in small of back,1.0,1
boring and drawing pain in tibia,agitation as if frightened,1.0,1
boring and drawing pain in tibia,arms and thighs sore to touch,1.0,1
boring and drawing pain in tibia,painful swelling in metatarsal bones,1.0,1
boring and drawing pain in tibia,phlegmonous inflammation and swelling of lids,1.0,1
boring and drawing pain in tibia,drawing and tearing in all the limbs,1.0,1
boring and drawing pain in tibia,tearing in hip joint and knee with pulsating pain,1.0,1
boring and drawing pain in tibia,pains around eyes on forehead and temples,1.0,1
boring and drawing pain in tibia,very sensitive to touch,1.0,1
boring and drawing pain in tibia,swelling of tarsal bones of right foot very red,1.0,1
boring and drawing pain in tibia,sticking pain with unsteadiness in back knees and feet,1.0,1
boring and drawing pain in tibia,sudden pain and stiffness of nape of neck and both upper and lower limbs,1.0,1
boring and drawing pain in tibia,glands swollen,1.0,1
boring and drawing pain in tibia,acrid lachrymation,1.0,1
boring and drawing pain in tibia,bruised sensation of scapulae back and small of back,1.0,1
boring and drawing pain in tibia,painful stiffness in limbs,1.0,1
boring and drawing pain in tibia,tearing and stitching in lower limbs,1.0,1
boring and drawing pain in tibia,rheumatic affections of capsular ligaments of arms,1.0,1
boring and drawing pain in tibia,pupil dilated and covered with a thin film,1.0,1
boring and drawing pain in tibia,profuse sweat without relief in gouty rheumatic patients,1.0,1
boring and drawing pain in tibia,stinging especially in hip joint femur and knee,1.0,1
boring and drawing pain in tibia,fingers of both hands flexed and drawn inward,1.0,1
boring and drawing pain in tibia,has to have assistance to change position,1.0,1
boring and drawing pain in tibia,rheumatic and arthritic pains tearing stinging,1.0,1
boring and drawing pain in tibia,lancinating in shoulder joints arms and wrists,1.0,1
boring and drawing pain in tibia,awakens with trembling at the heart,1.0,1
boring and drawing pain in tibia,severe tearing boring cutting in damp weather,1.0,1
