### Cluster 40 — Symptoms (32)
Symptom,Frequency
pains around left knee as if something were tight,1
cannot put foot to ground when walking but only when standing,1
rheumatic pain in shoulders worse at night,1
pain as from dislocation of shoulder joint when moving it,1
lax fibres,1
pain in shoulder,1
soreness in chest and region of heart,1
especially suitable for children of irritable disposition,1
pains neuralgic lightning-like,1
many neuralgic pains,1
drawing pains in legs and feet,1
suitable for dark-haired sensitive people who are spare and thin,1
suitable for worn out women,1
must get up and walk,1
sour smelling,1
can hardly raise arm,1
unrefreshing sleep,1
swelling in bend of knee very painful,1
knees painful when walking,1
stitches,1
more tired in morning than when going to bed,1
restless,1
great internal heat at night,1
pains insupportable during repose,1
stitch from without inward in precordial region,1
adapted to children of irritable nervous disposition,1
no swelling or soreness,1
much pain in right shoulder,1
red swelling of fingers,1
lameness of right arm,1
feet painful when lying in bed,1
rheumatic pain in shoulders with tingling down fingers prevents least motion,1

### Top Remedies
Remedy,Symptoms_Covered
magnesia carbonica,32

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
pains around left knee as if something were tight,rheumatic pain in shoulders with tingling down fingers prevents least motion,1.0,1
pains neuralgic lightning-like,pains around left knee as if something were tight,1.0,1
pains neuralgic lightning-like,cannot put foot to ground when walking but only when standing,1.0,1
pains neuralgic lightning-like,rheumatic pain in shoulders worse at night,1.0,1
pains neuralgic lightning-like,pain as from dislocation of shoulder joint when moving it,1.0,1
pains neuralgic lightning-like,lax fibres,1.0,1
pains neuralgic lightning-like,pain in shoulder,1.0,1
pains neuralgic lightning-like,soreness in chest and region of heart,1.0,1
pains neuralgic lightning-like,especially suitable for children of irritable disposition,1.0,1
pains neuralgic lightning-like,many neuralgic pains,1.0,1
pains neuralgic lightning-like,drawing pains in legs and feet,1.0,1
pains neuralgic lightning-like,suitable for dark-haired sensitive people who are spare and thin,1.0,1
pains neuralgic lightning-like,suitable for worn out women,1.0,1
pains neuralgic lightning-like,must get up and walk,1.0,1
pains neuralgic lightning-like,sour smelling,1.0,1
pains neuralgic lightning-like,can hardly raise arm,1.0,1
pains neuralgic lightning-like,unrefreshing sleep,1.0,1
pains neuralgic lightning-like,swelling in bend of knee very painful,1.0,1
pains neuralgic lightning-like,knees painful when walking,1.0,1
pains neuralgic lightning-like,stitches,1.0,1
pains neuralgic lightning-like,more tired in morning than when going to bed,1.0,1
pains neuralgic lightning-like,restless,1.0,1
pains neuralgic lightning-like,great internal heat at night,1.0,1
pains neuralgic lightning-like,pains insupportable during repose,1.0,1
pains neuralgic lightning-like,stitch from without inward in precordial region,1.0,1
pains neuralgic lightning-like,adapted to children of irritable nervous disposition,1.0,1
pains neuralgic lightning-like,no swelling or soreness,1.0,1
pains neuralgic lightning-like,much pain in right shoulder,1.0,1
pains neuralgic lightning-like,red swelling of fingers,1.0,1
pains neuralgic lightning-like,lameness of right arm,1.0,1
pains neuralgic lightning-like,feet painful when lying in bed,1.0,1
pains neuralgic lightning-like,rheumatic pain in shoulders with tingling down fingers prevents least motion,1.0,1
soreness in chest and region of heart,pains around left knee as if something were tight,1.0,1
soreness in chest and region of heart,cannot put foot to ground when walking but only when standing,1.0,1
soreness in chest and region of heart,rheumatic pain in shoulders worse at night,1.0,1
soreness in chest and region of heart,pain as from dislocation of shoulder joint when moving it,1.0,1
soreness in chest and region of heart,lax fibres,1.0,1
soreness in chest and region of heart,pain in shoulder,1.0,1
soreness in chest and region of heart,especially suitable for children of irritable disposition,1.0,1
soreness in chest and region of heart,pains neuralgic lightning-like,1.0,1
soreness in chest and region of heart,many neuralgic pains,1.0,1
soreness in chest and region of heart,drawing pains in legs and feet,1.0,1
soreness in chest and region of heart,suitable for dark-haired sensitive people who are spare and thin,1.0,1
soreness in chest and region of heart,suitable for worn out women,1.0,1
soreness in chest and region of heart,must get up and walk,1.0,1
soreness in chest and region of heart,sour smelling,1.0,1
soreness in chest and region of heart,can hardly raise arm,1.0,1
soreness in chest and region of heart,unrefreshing sleep,1.0,1
soreness in chest and region of heart,swelling in bend of knee very painful,1.0,1
soreness in chest and region of heart,knees painful when walking,1.0,1
soreness in chest and region of heart,stitches,1.0,1
soreness in chest and region of heart,more tired in morning than when going to bed,1.0,1
soreness in chest and region of heart,restless,1.0,1
soreness in chest and region of heart,great internal heat at night,1.0,1
soreness in chest and region of heart,pains insupportable during repose,1.0,1
soreness in chest and region of heart,stitch from without inward in precordial region,1.0,1
soreness in chest and region of heart,adapted to children of irritable nervous disposition,1.0,1
soreness in chest and region of heart,no swelling or soreness,1.0,1
soreness in chest and region of heart,much pain in right shoulder,1.0,1
soreness in chest and region of heart,red swelling of fingers,1.0,1
soreness in chest and region of heart,lameness of right arm,1.0,1
soreness in chest and region of heart,feet painful when lying in bed,1.0,1
soreness in chest and region of heart,rheumatic pain in shoulders with tingling down fingers prevents least motion,1.0,1
restless,pains around left knee as if something were tight,1.0,1
restless,cannot put foot to ground when walking but only when standing,1.0,1
restless,rheumatic pain in shoulders worse at night,1.0,1
restless,pain as from dislocation of shoulder joint when moving it,1.0,1
restless,lax fibres,1.0,1
restless,pain in shoulder,1.0,1
restless,soreness in chest and region of heart,1.0,1
restless,especially suitable for children of irritable disposition,1.0,1
