### Cluster 31 — Symptoms (56)
Symptom,Frequency
antidotes bad effects of quinine,1
aching in lumbar region with cough,1
sprained pain in wrists,1
stiffness as if broken in lumbar region,1
weakness in ankle,1
arthritic stiffness,2
numbness of fingers and tips,1
indurated glands,2
painful tension in calves when walking,2
sharp pain in ball of right thumb,1
offensive debilitating night sweats,2
arthritic nodes,1
night sweats staining linen yellow,1
arms painful to touch,1
coccyx pain worse by sitting,1
coccyx pain worse by lying,1
hands become stiff,1
offensive debilitating sweats,2
pain in ankle,1
violent drawing pain in hip,2
induration of glands,1
hands go to sleep,2
gnawing pain in tibia,1
induration of tendons of fingers,1
painful contraction of tendo achillis,2
scrofulous patients with rheumatic troubles,1
gouty stiffness of finger joints,2
swelling of bones of fingers,1
complementary to calc. phos.,1
compatible with most polychrests,1
weakness of ankles in learning to walk,1
feet go to sleep,1
exhausting sweats,1
hands numb,1
burning in coccyx when touched,1
fingers go to sleep,1
nosebleed preceded by vertigo,1
boring in condyles of wrist,1
pressing drawing in lumbar region,2
stitches in left hip when sitting,1
sharp drawing across small of back,2
pressing pain in small of back,2
painful tension between shoulders,2
joints feel as if broken,1
coldness in lumbar region with cough,1
cramp in forepart of leg near tibia on walking,1
legs up to knees go to sleep,1
suppuration of glands,1
nosebleed in the morning,1
ulcerative bruised pain in coccyx,2
numbness of limbs,1
drawing in tip of elbow,1
pain in hip causes limping,1
bruised pain in limbs during motion,1
prickling stitches in nape of neck,1
sensitive to every step,1

### Top Remedies
Remedy,Symptoms_Covered
carbo animalis,56
calcarea fluorica,1
spongia,1

### Directed Edges (Conditional Probabilities)
Source,Target,Weight_P(Target|Source),Shared_Remedies
painful tension in calves when walking,coccyx pain worse by sitting,1.0,1
painful tension in calves when walking,coccyx pain worse by lying,1.0,1
painful tension in calves when walking,hands become stiff,1.0,1
painful tension in calves when walking,offensive debilitating sweats,1.0,1
painful tension in calves when walking,pain in ankle,1.0,1
painful tension in calves when walking,violent drawing pain in hip,1.0,1
painful tension in calves when walking,induration of glands,1.0,1
painful tension in calves when walking,hands go to sleep,1.0,1
painful tension in calves when walking,gnawing pain in tibia,1.0,1
painful tension in calves when walking,induration of tendons of fingers,1.0,1
painful tension in calves when walking,painful contraction of tendo achillis,1.0,1
painful tension in calves when walking,scrofulous patients with rheumatic troubles,1.0,1
painful tension in calves when walking,gouty stiffness of finger joints,1.0,1
painful tension in calves when walking,swelling of bones of fingers,1.0,1
painful tension in calves when walking,complementary to calc. phos.,1.0,1
painful tension in calves when walking,compatible with most polychrests,1.0,1
painful tension in calves when walking,weakness of ankles in learning to walk,1.0,1
painful tension in calves when walking,feet go to sleep,1.0,1
painful tension in calves when walking,exhausting sweats,1.0,1
painful tension in calves when walking,hands numb,1.0,1
painful tension in calves when walking,burning in coccyx when touched,1.0,1
painful tension in calves when walking,fingers go to sleep,1.0,1
painful tension in calves when walking,nosebleed preceded by vertigo,1.0,1
painful tension in calves when walking,boring in condyles of wrist,1.0,1
painful tension in calves when walking,pressing drawing in lumbar region,1.0,1
painful tension in calves when walking,stitches in left hip when sitting,1.0,1
painful tension in calves when walking,sharp drawing across small of back,1.0,1
painful tension in calves when walking,pressing pain in small of back,1.0,1
painful tension in calves when walking,painful tension between shoulders,1.0,1
painful tension in calves when walking,joints feel as if broken,1.0,1
painful tension in calves when walking,coldness in lumbar region with cough,1.0,1
painful tension in calves when walking,cramp in forepart of leg near tibia on walking,1.0,1
painful tension in calves when walking,legs up to knees go to sleep,1.0,1
painful tension in calves when walking,suppuration of glands,1.0,1
painful tension in calves when walking,nosebleed in the morning,1.0,1
painful tension in calves when walking,ulcerative bruised pain in coccyx,1.0,1
painful tension in calves when walking,numbness of limbs,1.0,1
painful tension in calves when walking,drawing in tip of elbow,1.0,1
painful tension in calves when walking,pain in hip causes limping,1.0,1
painful tension in calves when walking,bruised pain in limbs during motion,1.0,1
painful tension in calves when walking,prickling stitches in nape of neck,1.0,1
painful tension in calves when walking,sensitive to every step,1.0,1
pressing pain in small of back,antidotes bad effects of quinine,0.5,1
pressing pain in small of back,aching in lumbar region with cough,0.5,1
pressing pain in small of back,sprained pain in wrists,0.5,1
pressing pain in small of back,stiffness as if broken in lumbar region,0.5,1
pressing pain in small of back,weakness in ankle,0.5,1
pressing pain in small of back,arthritic stiffness,0.5,1
pressing pain in small of back,numbness of fingers and tips,0.5,1
pressing pain in small of back,indurated glands,0.5,1
pressing pain in small of back,painful tension in calves when walking,0.5,1
pressing pain in small of back,sharp pain in ball of right thumb,0.5,1
pressing pain in small of back,offensive debilitating night sweats,0.5,1
pressing pain in small of back,arthritic nodes,0.5,1
pressing pain in small of back,night sweats staining linen yellow,0.5,1
pressing pain in small of back,arms painful to touch,0.5,1
pressing pain in small of back,coccyx pain worse by sitting,0.5,1
pressing pain in small of back,coccyx pain worse by lying,0.5,1
pressing pain in small of back,hands become stiff,0.5,1
pressing pain in small of back,offensive debilitating sweats,0.5,1
pressing pain in small of back,pain in ankle,0.5,1
pressing pain in small of back,violent drawing pain in hip,0.5,1
pressing pain in small of back,induration of glands,0.5,1
pressing pain in small of back,hands go to sleep,0.5,1
pressing pain in small of back,gnawing pain in tibia,0.5,1
pressing pain in small of back,induration of tendons of fingers,0.5,1
pressing pain in small of back,painful contraction of tendo achillis,0.5,1
pressing pain in small of back,scrofulous patients with rheumatic troubles,0.5,1
pressing pain in small of back,gouty stiffness of finger joints,0.5,1
pressing pain in small of back,swelling of bones of fingers,0.5,1
pressing pain in small of back,complementary to calc. phos.,0.5,1
pressing pain in small of back,compatible with most polychrests,0.5,1
pressing pain in small of back,weakness of ankles in learning to walk,0.5,1
pressing pain in small of back,feet go to sleep,0.5,1
pressing pain in small of back,exhausting sweats,0.5,1
pressing pain in small of back,hands numb,0.5,1
pressing pain in small of back,burning in coccyx when touched,0.5,1
pressing pain in small of back,fingers go to sleep,0.5,1
pressing pain in small of back,nosebleed preceded by vertigo,0.5,1
pressing pain in small of back,boring in condyles of wrist,0.5,1
pressing pain in small of back,pressing drawing in lumbar region,0.5,1
pressing pain in small of back,stitches in left hip when sitting,0.5,1
pressing pain in small of back,sharp drawing across small of back,0.5,1
pressing pain in small of back,painful tension between shoulders,0.5,1
pressing pain in small of back,joints feel as if broken,0.5,1
pressing pain in small of back,coldness in lumbar region with cough,0.5,1
pressing pain in small of back,cramp in forepart of leg near tibia on walking,0.5,1
pressing pain in small of back,legs up to knees go to sleep,0.5,1
pressing pain in small of back,suppuration of glands,0.5,1
pressing pain in small of back,nosebleed in the morning,0.5,1
pressing pain in small of back,ulcerative bruised pain in coccyx,0.5,1
pressing pain in small of back,numbness of limbs,0.5,1
pressing pain in small of back,drawing in tip of elbow,0.5,1
pressing pain in small of back,pain in hip causes limping,0.5,1
pressing pain in small of back,bruised pain in limbs during motion,0.5,1
pressing pain in small of back,prickling stitches in nape of neck,0.5,1
pressing pain in small of back,sensitive to every step,0.5,1
stiffness as if broken in lumbar region,antidotes bad effects of quinine,1.0,1
stiffness as if broken in lumbar region,aching in lumbar region with cough,1.0,1
stiffness as if broken in lumbar region,sprained pain in wrists,1.0,1
stiffness as if broken in lumbar region,weakness in ankle,1.0,1
stiffness as if broken in lumbar region,arthritic stiffness,1.0,1
stiffness as if broken in lumbar region,numbness of fingers and tips,1.0,1
stiffness as if broken in lumbar region,indurated glands,1.0,1
stiffness as if broken in lumbar region,painful tension in calves when walking,1.0,1
stiffness as if broken in lumbar region,sharp pain in ball of right thumb,1.0,1
stiffness as if broken in lumbar region,offensive debilitating night sweats,1.0,1
stiffness as if broken in lumbar region,arthritic nodes,1.0,1
stiffness as if broken in lumbar region,night sweats staining linen yellow,1.0,1
stiffness as if broken in lumbar region,arms painful to touch,1.0,1
stiffness as if broken in lumbar region,coccyx pain worse by sitting,1.0,1
stiffness as if broken in lumbar region,coccyx pain worse by lying,1.0,1
stiffness as if broken in lumbar region,hands become stiff,1.0,1
stiffness as if broken in lumbar region,offensive debilitating sweats,1.0,1
stiffness as if broken in lumbar region,pain in ankle,1.0,1
stiffness as if broken in lumbar region,violent drawing pain in hip,1.0,1
stiffness as if broken in lumbar region,induration of glands,1.0,1
stiffness as if broken in lumbar region,hands go to sleep,1.0,1
stiffness as if broken in lumbar region,gnawing pain in tibia,1.0,1
stiffness as if broken in lumbar region,induration of tendons of fingers,1.0,1
stiffness as if broken in lumbar region,painful contraction of tendo achillis,1.0,1
stiffness as if broken in lumbar region,scrofulous patients with rheumatic troubles,1.0,1
stiffness as if broken in lumbar region,gouty stiffness of finger joints,1.0,1
stiffness as if broken in lumbar region,swelling of bones of fingers,1.0,1
stiffness as if broken in lumbar region,complementary to calc. phos.,1.0,1
stiffness as if broken in lumbar region,compatible with most polychrests,1.0,1
stiffness as if broken in lumbar region,weakness of ankles in learning to walk,1.0,1
stiffness as if broken in lumbar region,feet go to sleep,1.0,1
stiffness as if broken in lumbar region,exhausting sweats,1.0,1
stiffness as if broken in lumbar region,hands numb,1.0,1
stiffness as if broken in lumbar region,burning in coccyx when touched,1.0,1
stiffness as if broken in lumbar region,fingers go to sleep,1.0,1
stiffness as if broken in lumbar region,nosebleed preceded by vertigo,1.0,1
stiffness as if broken in lumbar region,boring in condyles of wrist,1.0,1
stiffness as if broken in lumbar region,pressing drawing in lumbar region,1.0,1
stiffness as if broken in lumbar region,stitches in left hip when sitting,1.0,1
